Date,Open,High,Low,Close
2026-05-10 00:00,4698.59,4701.37,4678.95,4691.47
2026-05-08 00:00,4687.13,4749.48,4681.66,4715.2
2026-05-07 00:00,4696.2,4764.87,4685.15,4687.27
2026-05-06 00:00,4557.95,4722.99,4546.19,4691.02
2026-05-05 00:00,4523.31,4586.69,4513.43,4557.6
2026-05-04 00:00,4619.77,4629.43,4500.61,4523.66
2026-05-03 00:00,4619.77,4629.41,4611.51,4613.75
2026-05-01 00:00,4628.14,4660.29,4560.11,4616.19
2026-04-30 00:00,4543.71,4646.69,4539.21,4621.7
2026-04-29 00:00,4598.72,4610.34,4510.29,4543.66
2026-04-28 00:00,4684.09,4701.34,4554.76,4597.3
2026-04-27 00:00,4692.74,4730.08,4667.17,4681.69
2026-04-26 00:00,4692.74,4699.83,4674.98,4679.9
2026-04-24 00:00,4699.29,4740.49,4657.7,4708.02
2026-04-23 00:00,4745.51,4753.53,4664.12,4694.31
2026-04-22 00:00,4722.01,4772.39,4715.53,4740.11
2026-04-21 00:00,4823.36,4833.11,4668.45,4720.14
2026-04-20 00:00,4763.04,4827.76,4737.07,4820.65
2026-04-19 00:00,4763.04,4794.84,4737.35,4755.22
2026-04-17 00:00,4794.55,4889.37,4767.51,4834.06
2026-04-16 00:00,4797.42,4838.31,4772.95,4790.97
2026-04-15 00:00,4840.14,4871.25,4786.19,4790.67
2026-04-14 00:00,4751.47,4846.37,4745.66,4841.92
2026-04-13 00:00,4661.08,4750.25,4644.27,4740.48
2026-04-12 00:00,4661.08,4691.17,4644.43,4671.7
2026-04-10 00:00,4775.64,4795.16,4730.84,4748.66
2026-04-09 00:00,4727.87,4801.2,4698.48,4765.51
2026-04-08 00:00,4747.06,4857.02,4699.63,4719.07
2026-04-07 00:00,4658.51,4718.39,4607.66,4705.53
2026-04-06 00:00,4631.66,4706.42,4600.68,4650.64
2026-04-05 00:00,4631.66,4665.36,4605.5,4610.91
2026-04-02 00:00,4759.38,4800.25,4554.19,4676.12
2026-04-01 00:00,4681.82,4793.04,4661.61,4758.08
2026-03-31 00:00,4514.19,4687.28,4482.59,4667.07
2026-03-30 00:00,4486.25,4580.57,4420.07,4511.12
2026-03-29 00:00,4486.25,4514.08,4443.87,4447.42
2026-03-27 00:00,4384.07,4555.29,4375.35,4495.03
2026-03-26 00:00,4517.21,4544.03,4351.28,4378.37
2026-03-25 00:00,4476.62,4602.42,4456.13,4506.28
2026-03-24 00:00,4419.01,4484.42,4305.42,4474.53
2026-03-23 00:00,4487.63,4536.33,4098.82,4406.64
2026-03-22 00:00,4464.22,4536.01,4450.15,4464.7
2026-03-20 00:00,4659.03,4735.93,4477.38,4496.98
2026-03-19 00:00,4829.45,4867.03,4502.58,4650.33
2026-03-18 00:00,5005.02,5016.32,4807,4818.83
2026-03-17 00:00,5010.94,5044.31,4973.47,5005.44
2026-03-16 00:00,5010.84,5038.08,4967.24,5006.19
2026-03-15 00:00,5013.57,5030.6,4968.64,4997.52
2026-03-13 00:00,5074.8,5128.47,5009.59,5021.27
2026-03-12 00:00,5182.09,5191.69,5054.86,5079.24
2026-03-11 00:00,5190.1,5223.06,5148.96,5176.09
2026-03-10 00:00,5148.47,5238.61,5117.49,5192.67
2026-03-09 00:00,5190.43,5192.08,5014.58,5136.6
2026-03-08 00:00,5186.66,5191.14,5044.5,5075.45
2026-03-06 00:00,5083.76,5174.61,5062.44,5171.06
2026-03-05 00:00,5150.07,5194.93,5050.68,5080.88
2026-03-04 00:00,5109.8,5206.12,5084.03,5140.99
2026-03-03 00:00,5334.19,5379.75,4996,5088.16
2026-03-02 00:00,5351.51,5419.36,5260.44,5321.97
2026-03-01 00:00,5351.51,5392.49,5332.91,5387.03
2026-02-27 00:00,5188.23,5280.82,5166.8,5279.95
2026-02-26 00:00,5165.12,5205.51,5130.3,5184.9
2026-02-25 00:00,5141.52,5217.73,5120.31,5164.94
2026-02-24 00:00,5230.95,5249.73,5093.33,5143.71
2026-02-23 00:00,5109.06,5237.81,5107.83,5227.61
