Date,Day,Open,High,Low,Close,Change,Range,Type
2024-08-29,Thursday,2506.21,2528.74,2503.69,2521.22,15.01,25.05,bullish
2024-08-28,Wednesday,2525.26,2529.14,2493.67,2504.67,-20.59,35.47,bearish
2024-08-27,Tuesday,2517.73,2526.01,2503.59,2524.82,7.09,22.43,bullish
2024-08-26,Monday,2512.04,2526.9,2508.81,2517.96,5.92,18.09,bullish
2024-08-23,Friday,2485.34,2518.4,2484.41,2512.49,27.15,33.99,bullish
2024-08-22,Thursday,2512.22,2514.73,2470.85,2484.72,-27.5,43.88,bearish
2024-08-21,Wednesday,2513.86,2519.99,2493.83,2512.25,-1.61,26.16,bearish
2024-08-20,Tuesday,2503.74,2531.77,2497.4,2514.11,10.37,34.36,bullish
2024-08-19,Monday,2506.53,2507.54,2485.74,2504.29,-2.24,21.8,bearish
2024-08-16,Friday,2456.11,2509.82,2450.8,2508.14,52.03,59.02,bullish
2024-08-15,Thursday,2448.2,2470.16,2432.23,2456.55,8.35,37.93,bullish
2024-08-14,Wednesday,2466.36,2480.13,2438.15,2447.95,-18.41,41.98,bearish
2024-08-13,Tuesday,2470.39,2476.99,2458.56,2465.05,-5.34,18.43,bearish
2024-08-12,Monday,2428.14,2473.23,2423.89,2472.12,43.98,49.34,bullish
2024-08-09,Friday,2427.22,2437.09,2416.93,2431.27,4.05,20.16,bullish
2024-08-08,Thursday,2381.48,2427.76,2381.14,2427.27,45.8,46.62,bullish
2024-08-07,Wednesday,2390.2,2407.13,2379.05,2382.91,-7.29,28.07,bearish
2024-08-06,Tuesday,2411.4,2418.43,2381.56,2390.13,-21.26,36.87,bearish
2024-08-05,Monday,2441.94,2458.88,2364.39,2409.89,-32.05,94.49,bearish
2024-08-02,Friday,2447.24,2477.73,2410.89,2442.5,-4.74,66.84,bearish
2024-08-01,Thursday,2447.77,2462.32,2430.28,2446.39,-1.38,32.05,bearish
2024-07-31,Wednesday,2410.74,2451.01,2403.94,2447.57,36.83,47.07,bullish
2024-07-30,Tuesday,2382.53,2412.94,2376.54,2410.88,28.36,36.4,bullish
2024-07-29,Monday,2388.4,2403.27,2369.65,2383.79,-4.61,33.61,bearish
2024-07-26,Friday,2364.51,2390.84,2355.88,2387.02,22.51,34.97,bullish
2024-07-25,Thursday,2397.86,2401.31,2353.2,2364.3,-33.55,48.11,bearish
2024-07-24,Wednesday,2408.79,2432.07,2396.86,2397.4,-11.39,35.2,bearish
2024-07-23,Tuesday,2397.59,2412.07,2388.31,2409.65,12.06,23.76,bullish
2024-07-22,Monday,2403.82,2412.26,2383.93,2396.42,-7.4,28.33,bearish
2024-07-19,Friday,2444.5,2445.34,2393.88,2400.82,-43.67,51.46,bearish
2024-07-18,Thursday,2458.76,2475,2440.42,2445.31,-13.45,34.59,bearish
2024-07-17,Wednesday,2467.82,2483.74,2451.57,2458.81,-9.01,32.17,bearish
2024-07-16,Tuesday,2422.08,2469.77,2420.08,2468.93,46.85,49.68,bullish
2024-07-15,Monday,2411.81,2439.86,2401.41,2422.4,10.59,38.45,bullish
2024-07-12,Friday,2413.07,2418.31,2391.52,2410.92,-2.15,26.79,bearish
2024-07-11,Thursday,2371.93,2424.6,2371.34,2415.38,43.45,53.26,bullish
2024-07-10,Wednesday,2363.9,2386.73,2363.15,2371.32,7.42,23.58,bullish
2024-07-09,Tuesday,2359.13,2371.63,2349.49,2364.03,4.91,22.14,bullish
2024-07-08,Monday,2389.41,2391.13,2351.09,2359.26,-30.15,40.04,bearish
2024-07-05,Friday,2357.03,2392.97,2348.62,2391.62,34.59,44.35,bullish
2024-07-04,Thursday,2356.96,2362.6,2350.51,2357.2,0.24,12.09,bullish
2024-07-03,Wednesday,2330.34,2365,2326.89,2356.16,25.82,38.11,bullish
2024-07-02,Tuesday,2331.88,2336.89,2319.13,2329.49,-2.39,17.76,bearish
2024-07-01,Monday,2323.32,2338.55,2318.61,2331.86,8.53,19.94,bullish
2024-06-28,Friday,2327.11,2339.79,2319.11,2326.72,-0.39,20.68,bearish
2024-06-27,Thursday,2298.84,2331.02,2296.61,2327.81,28.97,34.4,bullish
2024-06-26,Wednesday,2320.13,2324.02,2293.69,2298.47,-21.66,30.32,bearish
2024-06-25,Tuesday,2333.95,2337.16,2315.59,2319.59,-14.35,21.57,bearish
2024-06-24,Monday,2321.03,2334.73,2317.78,2334.43,13.4,16.95,bullish
2024-06-21,Friday,2359.67,2368.77,2316.79,2321.88,-37.79,51.98,bearish
2024-06-20,Thursday,2330.07,2365.59,2327.77,2360.15,30.07,37.83,bullish
